Date,Open,High,Low,Volume,Adj Close
"Apr 25, 2017",29825.14,29961.82,29780.84,894000,29943.24
"Apr 24, 2017",29407.68,29681.33,29392.99,917000,29655.84
"Apr 21, 2017",29575.66,29584.34,29259.42,1171000,29365.3
"Apr 20, 2017",29358.59,29453.06,29341.68,1510000,29422.39
"Apr 19, 2017",29369.9,29388.25,29241.48,1199000,29336.57
"Apr 18, 2017",29487.78,29701.19,29286.38,1249000,29319.1
"Apr 17, 2017",29470.27,29494.08,29363.28,686000,29413.66
"Apr 13, 2017",29637.12,29660.48,29442.26,1101000,29461.45
"Apr 12, 2017",29838.82,29838.82,29549.74,883000,29643.48
"Apr 11, 2017",29630.06,29804.51,29570.58,1107000,29788.35
"Apr 10, 2017",29752.62,29831.32,29553.04,1098000,29575.74
"Apr 07, 2017",29850.71,29886.12,29668.45,1519000,29706.61
"Apr 06, 2017",29946.89,29954.25,29817.59,1173000,29927.34
"Apr 05, 2017",29996.03,30007.48,29817.69,1151000,29974.24
"Apr 03, 2017",29737.73,29926.94,29705.72,1045000,29910.22
"Mar 31, 2017",29633.91,29687.64,29552.61,1216000,29620.5
"Mar 30, 2017",29538.03,29684.54,29521.65,1623000,29647.42
"Mar 29, 2017",29463.01,29554.39,29439.42,4290000,29531.43
"Mar 28, 2017",29301.22,29442.18,29301.22,3453000,29409.52
"Mar 27, 2017",29395.68,29420.7,29163.54,1555000,29237.15
"Mar 24, 2017",29350.6,29539.85,29350.17,2166000,29421.4
"Mar 23, 2017",29201.01,29373.79,29198.08,2684000,29332.16
"Mar 22, 2017",29341.41,29341.41,29137.48,1520000,29167.68
"Mar 21, 2017",29525.88,29585.05,29380.14,1190000,29485.45
"Mar 20, 2017",29653.54,29699.48,29482.4,41318000,29518.74
"Mar 17, 2017",29755.74,29824.62,29601.86,1485000,29648.99
"Mar 16, 2017",29482.83,29614.79,29482.83,1896000,29585.85
"Mar 15, 2017",29452.86,29500.08,29358.91,40458000,29398.11
"Mar 14, 2017",29437.23,29561.93,29356.05,3008000,29442.63
"Mar 10, 2017",29006,29076.63,28851.04,1637000,28946.23
"Mar 09, 2017",28909.7,28986.72,28815.02,41387000,28929.13
"Mar 08, 2017",29021.06,29022.32,28815.48,1681000,28901.94
"Mar 07, 2017",29092.16,29098.17,28957.68,1001000,28999.56
"Mar 06, 2017",28859.21,29070.2,28856.12,1251000,29048.19
"Mar 03, 2017",28827.5,28860.13,28716.21,960000,28832.45
"Mar 02, 2017",29117.38,29145.62,28784.31,1112000,28839.79
"Mar 01, 2017",28849.04,29029.17,28824.17,1504000,28984.49
"Feb 28, 2017",28825.19,28876.54,28721.12,1101000,28743.32
"Feb 27, 2017",28910.5,28961.83,28791.19,1241000,28812.88
"Feb 23, 2017",28927.67,29065.31,28860.46,1897000,28892.97
"Feb 22, 2017",28822.4,28963.52,28789.3,1680000,28864.71
"Feb 21, 2017",28716.7,28801,28597.33,869000,28761.59
"Feb 20, 2017",28481.91,28696.53,28419.27,925000,28661.58
"Feb 17, 2017",28670.43,28726.26,28410.91,1553000,28468.75
"Feb 16, 2017",28223.85,28327.84,28146.19,998000,28301.27
"Feb 15, 2017",28270.11,28382.32,28102.23,1841000,28155.56
"Feb 14, 2017",28386.12,28393.42,28263.45,1208000,28339.31
"Feb 13, 2017",28450.42,28458.8,28197.38,965000,28351.62
"Feb 10, 2017",28367.17,28456.18,28286.8,1414000,28334.25
"Feb 09, 2017",28349.22,28469.48,28152.18,1051000,28329.7
"Feb 08, 2017",28386.08,28391.64,28149.08,1123000,28289.92
"Feb 07, 2017",28443.23,28483.41,28239.12,1113000,28335.16
"Feb 06, 2017",28340.39,28487.28,28340.39,1033000,28439.28
"Feb 03, 2017",28270.67,28280.58,28127.18,1110000,28240.52
"Feb 02, 2017",28167.83,28299.92,28070.81,1775000,28226.61
"Feb 01, 2017",27669.08,28159.54,27590.1,1885000,28141.64
"Jan 31, 2017",27867.92,27867.92,27624.54,1095000,27655.96
"Jan 30, 2017",27866.8,27947.37,27813.32,894000,27849.56
"Jan 27, 2017",27761.03,27980.39,27759.48,1467000,27882.46
"Jan 25, 2017",27462.83,27736.83,27439.68,1256000,27708.14
"Jan 24, 2017",27170.88,27393.35,27140.85,695000,27375.58
"Jan 23, 2017",26990.93,27167.79,26963.58,677000,27117.34
"Jan 20, 2017",27232.69,27264.41,27009.81,905000,27034.5
"Jan 19, 2017",27253.34,27348.19,27219.89,1115000,27308.6
"Jan 18, 2017",27261.76,27422.67,27217.65,982000,27257.64
"Jan 17, 2017",27331.82,27381.43,27179.19,839000,27235.66
"Jan 16, 2017",27238.35,27335.08,27172.68,1302000,27288.17
"Jan 13, 2017",27378.01,27459.75,27143.07,1053000,27238.06
"Jan 12, 2017",27171.66,27278.93,27166.69,1205000,27247.16
"Jan 11, 2017",26978.44,27174.87,26978.44,1236000,27140.41
"Jan 10, 2017",26811.63,26914.95,26804.17,893000,26899.56
"Jan 09, 2017",26860.81,26860.88,26701.18,664000,26726.55
"Jan 06, 2017",26929.69,27009.61,26733.33,796000,26759.23
"Jan 05, 2017",26738.42,26917.21,26738.42,1008000,26878.24
"Jan 04, 2017",26677.22,26723.37,26606.06,834000,26633.13
"Jan 03, 2017",26616.92,26724.4,26488.37,1011000,26643.24
"Jan 02, 2017",26711.15,26720.98,26447.06,820000,26595.45
"Dec 30, 2016",26441.51,26678.6,26406.53,891000,26626.46
"Dec 29, 2016",26429.41,26429.63,26166.67,693000,26366.15
"Dec 28, 2016",26243.19,26415.05,26191.72,877000,26210.68
"Dec 27, 2016",25815.43,26249.03,25803.19,905000,26213.44
"Dec 26, 2016",25992.41,26008.57,25753.74,564000,25807.1
"Dec 23, 2016",25959.99,26143.19,25872.38,769000,26040.7
"Dec 22, 2016",26224.07,26248.45,25940.14,778000,25979.6
"Dec 21, 2016",26368.88,26396,26213.51,629000,26242.38
"Dec 20, 2016",26374.59,26435.56,26241.43,746000,26307.98
"Dec 19, 2016",26505.66,26505.66,26340.38,761000,26374.7
"Dec 16, 2016",26548.67,26594.55,26455.21,780000,26489.56
"Dec 15, 2016",26497.71,26737.86,26407.58,1307000,26519.07
"Dec 14, 2016",26707.91,26736.34,26547.05,1017000,26602.84
"Dec 13, 2016",26607.65,26724.97,26494.23,716000,26697.82
"Dec 12, 2016",26725.31,26725.31,26468.59,879000,26515.24
"Dec 09, 2016",26787.14,26803.76,26707.81,1012000,26747.18
"Dec 08, 2016",26366.52,26733.87,26357.35,848000,26694.28
"Dec 07, 2016",26456.21,26540.83,26164.82,1082000,26236.87
"Dec 06, 2016",26403.62,26502.43,26356.02,775000,26392.76
"Dec 05, 2016",26253.48,26390.8,26125.35,1318000,26349.1
